new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22785-1,2022-12-08 23:00:00,0,10307.23,-12938.850000000002,0,0.0,999,34579.01
22791-10,2023-07-16 22:00:00,0,13670.449999999999,-23142.090000000004,0,0.0,999,29424.779999999995
22791-9,2022-04-20 22:00:00,0,183126.22000000003,-49638.62,0,0.0,999,143713.48999999996
22791-8,2021-01-19 23:00:00,0,27738.700000000004,-26544.250000000004,0,0.0,999,1664.450000000004
22791-7,2019-10-31 23:00:00,0,16084.360000000002,-16481.079999999998,0,0.0,999,1308.1200000000058
22791-6,2018-08-05 22:00:00,0,10091.43,-12883.130000000001,0,0.0,999,1658.200000000022
22791-5,2017-05-11 22:00:00,0,6130.999999999999,-6858.76,0,0.0,999,520.9500000000221
22791-4,2016-02-10 23:00:00,0,15021.06,-16837.370000000003,0,0.0,999,949.680000000018
22791-3,2014-11-18 23:00:00,0,11879.54,-13574.160000000002,0,0.0,999,882.7300000000646
22791-2,2013-08-29 22:00:00,0,19000.14,-19523.21,0,0.0,999,422.6200000000422
22791-1,2012-02-29 23:00:00,0,0.0,0.0,0,0.0,999,1143.77
22819-2,2022-06-09 22:00:00,0,10.0,0.0,0,0.0,999,100.0
22819-1,2021-03-10 23:00:00,0,0.0,0.0,0,0.0,999,10.0
22823-2,2022-06-09 22:00:00,0,10.0,0.0,0,0.0,999,100.0
22823-1,2021-03-10 23:00:00,0,0.0,0.0,0,0.0,999,10.0
22824-9,2024-03-03 23:00:00,0,11191.68,-11421.01,0,0.0,999,1726.3900000000021
22824-8,2022-12-06 23:00:00,0,71013.04000000001,-76368.55,0,0.0,999,-6336.519999999998
22824-7,2021-09-13 22:00:00,0,24739.989999999998,-19473.62,0,0.0,999,-23730.96
22824-6,2020-06-18 22:00:00,0,4200.0,-4815.370000000001,0,0.0,999,-40264.8
22824-5,2019-03-25 23:00:00,0,6925.9,-4284.969999999999,0,0.0,999,-47145.590000000004
22824-4,2017-12-28 23:00:00,0,3683.7400000000002,-2604.47,0,0.0,999,-65002.4
22824-3,2016-10-05 22:00:00,0,10000.0,-2620.22,0,0.0,999,-94928.74
22824-2,2015-07-02 22:00:00,0,4900.0,-1914.1399999999999,0,0.0,999,-117008.51
